Codi del centre;Nom del centre;Adreça del centre;Codi municipi del centre;Municipi del centre;Districte municipal del centre;Codi postal del centre;Telèfon del centre;Telèfon 2 del centre;Codi naturalesa;Nom naturalesa;Codi titularitat;Nom titularitat;Servei d'educació de Catalunya;Codi comarca del centre;Comarca del centre;Codi localitat del centre;Codi àrea territorial del centre;Àrea territorial del centre
08001443;Institut Eugeni d'Ors;av. Maresme, 192-212;08015;Badalona;;08918;933875866;934602756;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801501;0208;Barcelona Comarques
08003658;Sant Francesc;c.Taquígraf Serra,7.pl.1a,2a,3a,4a,5a,7a;08019;Barcelona;Les Corts;08029;933218377;934308464;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08008191;Santa Maria dels Apòstols;c. Pere IV, 562/rbla. Prim, 146-152;08019;Barcelona;Sant Martí;08019;933149011;933148855;3;Concertat;24;Ordes i Congregacions Catòlics;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08009260;Jesuïtes Clot - El Clot;c. València, 680;08019;Barcelona;Sant Martí;08027;933516011;934084682;3;Concertat;22;Fundacions;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08013135;Institut Moisès Broggi;c. Sant Quintí, 32-50;08019;Barcelona;Sant Martí;08041;934368903;934563285;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08013275;Institut Escola del Treball;c. Comte d'Urgell, 187;08019;Barcelona;Eixample;08036;934309200;934108540;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08013640;Joan Pelegrí;c. Consell de Cent,14;08019;Barcelona;Sants - Montjuïc;08014;934316200;932964607;3;Concertat;22;Fundacions;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08014255;Sopeña Barcelona;c. Violant d'Hongria, 39-49;08019;Barcelona;Sants - Montjuïc;08028;933390544;934902534;3;Concertat;22;Fundacions;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08014310;Santíssima Trinitat;ctra. d'Esplugues, 62-70;08019;Barcelona;Les Corts;08034;932046312;932047766;3;Concertat;22;Fundacions;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08014693;Institut Guillem de Berguedà;Camí de Pedret, 2;08022;Berga;;08600;938210618;938220619;1;Públic;01;Departament d'Ensenyament;S;14;Berguedà;0802201;1060;Catalunya Central
08017131;Institut Severo Ochoa;c. Severo Ochoa, 1-13;08077;Esplugues de Llobregat;;08950;933717042;934732075;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0807701;0308;Baix Llobregat
08017852;Institut Escola del Treball;c. Roger de Flor, 66;08096;Granollers;;08401;938795518;938796129;1;Públic;04;Corporacions Locals;S;41;Vallès Oriental;0809601;0508;Maresme-Vallès Oriental
08018871;Joan XXIII;av.Mare de Déu de Bellvitge,100-110;08101;L'Hospitalet de Llobregat;Bellvitge - Polígon Gornal;08907;933351543;933356670;3;Concertat;22;Fundacions;S;13;Barcelonès;0810101;0208;Barcelona Comarques
08019319;Institut Pedraforca;c. Enginyer Moncunill, 2;08101;L'Hospitalet de Llobregat;La Florida;08905;934494714;934409754;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0810101;0208;Barcelona Comarques
08019401;Institut Provençana;c. de Sant Pius X, 8;08101;L'Hospitalet de Llobregat;Centre - Sant Josep - Santfeliu;08901;933382553;933375735;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0810101;0208;Barcelona Comarques
08019654;Institut Milà i Fontanals;av. Emili Vallès, 4;08102;Igualada;;08700;938055750;938050292;1;Públic;01;Departament d'Ensenyament;S;06;Anoia;0810201;1060;Catalunya Central
08020036;Joviat;c. Rubió i Ors, 5-17;08113;Manresa;;08240;938726988;938728581;3;Concertat;22;Fundacions;S;07;Bages;0811306;1060;Catalunya Central
